"FirstAuthor","YearOfPublication","StudyName","StudyDesign","StudyDesignGroup","Exposure","SpecificExposure","IfExposureIsCategoricalReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureCutoff","ExposureGroup","ToReverseReferenceGroup","CodeLargerComparisonGroup","LargerComparisonGroup","Outcome","SpecificOutcome","OutcomeSubgroup","OutcomeGroup","SpecficOutcomeGroup","AgeAtOutcomeGroup","AgeAtOutcome","DiseaseRisk","DiseaseRiskGroup","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotentialConflictOfInterest","RiskOfBiasDueToPotentialConflictOfInterestGroup","NumberExposedInCases","NoNonExposedInCases","NumberExposedInControls","NumberNonExposedInControls","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Cl(Lower)","95%Cl(Upper)","Pvalue","OtherInformationUnadjustedAnalysis","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","Adj95%Cl(Lower)","Adj95%Cl(Upper)","AdjPValue","OtherInformationAdjustedAnalysis","same as column z . AR CAN BE REMOVED","FinalEffect","UnadjInOr(RawNumbersOrUnadjOrRrHr)","Unadjse(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOrOriginal","AdjSe(InOr)","FinalInOrOriginal","FinalSe(InOr)","UnadjInOr","AdjInOr","FinalInOr"
"Whu","2007","Whu  R.  BRONX  NY","CASE CONTROL","retrospective","Exclusive BF","eBF","exclusive BF first 3 months","not exlusive BF first 3 months","3","3to4","1",">=3","","Asthma-Wheeze","Asthma diagnosis","","atopic","wheeze.rec","0to4","4","normal/low","normal","High","Other","Low","Low","10","91","34","126","","","","","","X2 = 5.65; df = 1; p = 0.03.","","","","","","","Low","OR","-0.9","0.39","","","-0.9","0.39","0.9","","0.9"
"Garcia-Marcos","2010","?Estudio Internacional de Sibilanciasen Lactantes?? (EISL) (International Study ofWheezing in Infants)","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","?3",">3","3","3to4","2",">=3","","Asthma-Wheeze"," Recurrent wheezing (RW)","","atopic","wheeze.rec","0to4","1","normal/low","normal","High","Other","Low","Low","","","","","OR","","","","","","OR","0.79","0.72","0.87","","","Low","OR","","","-0.24","0.05","-0.24","0.05","","-0.24","-0.24"
"Tanaka","2009","Fukuoka Child Health Study","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","<4","?4","4","3to4","2",">=4","","ASTHMA","Asthma","","atopic","wheeze.rec","0to4","3","normal/low","normal","High","Other","Low","Low","","","","","OR","0.69","0.51","0.95","","","OR","0.69","0.5","0.96","","","Low","OR","-0.37","0.16","-0.37","0.17","-0.37","0.17","-0.37","-0.37","-0.37"
"Huang","2013","Huang","prospective cohort","prospective","exclusive breastfeeding","eBF","no","exclusive vs non exclusive breastfeeding","6","ge5","2",">=6","","Asthma-Wheeze","Infant or baby asthma","","atopic","wheeze.rec","0to4","2","normal/low","normal","High","Other","Low","Low","","","","","OR","0.191","0.045","0.818","0.0257","","Not available","","","","","","Low","OR","-1.66","0.74","","","-1.66","0.74","-1.66","","-1.66"
"Rothenbacher","2005","Rothenbacher  Ulm University","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3","0","0","0to2","1","0-3","","Asthma-Wheeze","Ever Asthma(DD)","","atopic","wheeze.rec","0to4","2","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.33","0.32","","","-0.33","0.32","0.33","","0.33"
"Wright (FH+)","2001","Tuscon Children's Respiratory Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0",">=4","0","0to2","2",">=4","","Asthma-Wheeze","recurrent wheeze","","atopic","wheeze.rec","0to4","3","high","high","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.88","0.83","","","-0.88","0.83","-0.88","","-0.88"
"Wright (FH-)","2001","Tuscon Children's Respiratory Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0",">=4","0","0to2","2",">=4","","Asthma-Wheeze","recurrent wheeze","","atopic","wheeze.rec","0to4","3","normal/low","low","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","-0.68","0.33","","","-0.68","0.33","-0.68","","-0.68"
"Ehlayel","2008","Hamad Medical Corportation  Qatar","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","?6","<6","6","ge5","1",">=6","","ASTHMA","Doctor-diagnosed Asthma","","atopic","wheeze.rec","5to14","5","normal/low","low","High","Other","Low","Low","","","","","OR","1.98","1.49","2.63","0.001","","","","","","","","Low","OR","0.68","0.14","","","0.68","0.14","-0.68","","-0.68"
"Wright","2001","Tuscon Children's Respiratory Study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0",">=4","0","0to2","2",">=4","","Asthma-Wheeze","Ever Asthma","","atopic","wheeze.rec","5to14","13","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","0.35","0.29","","","0.35","0.29","0.35","","0.35"
"Hetzner","2009","Early Child Longitudinal Study Birth Cohort","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","6","0","0","0to2","1","6","","Asthma-Wheeze","Ever Asthma (DD)","","atopic","wheeze.rec","0to4","2","normal/low","normal","Low","Low","Low","Low","","","","","OR","","","","<0.001","","OR","1.1","0.64","1.93","","","Low","OR","","","0.1","0.29","0.1","0.29","","-0.1","-0.1"
"Rullo","2009","Rullo","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<1",">=1","1","0to2","2",">=1","","Asthma-Wheeze","recurrent wheezing","","atopic","wheeze.rec","0to4","2.5","high","high","Unclear","Other","Low","Low","","","","","OR","0.14","0.004","0.54","","","OR","0.09","0.01","0.51","","","Low","OR","-1.97","0.69","-2.41","0.89","-2.41","0.89","-1.97","-2.41","-2.41"
"Silva","2005","Silva  J.M.  Sao Paulo-Brazil","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<1",">=1","1","0to2","2",">=1","","Asthma-Wheeze","Persistent wheezers (vs transient)","","atopic","wheeze.rec","0to4","4","high","high","Unclear","Other","Low","Low","","","","","0.2","0.07","0.65","","0.007","","OR","0.12","0.02","0.63","0.013","adjusted Or is from table 3 and adjusted for sensitisation at baseline (model 1 in table)","Low","OR","-1.61","0.6","-2.12","0.85","-2.12","0.85","-1.61","-2.12","-2.12"
"Salam","2003","Child Health's Study","nested case-control","prospective","Duration of exclusive breastfeeding","eBF","?4","<4","4","3to4","1",">=4","","Asthma-Wheeze","Doctor-diagnosed Asthma","","atopic","wheeze.rec","5to14","6TO18","normal/low","normal","Unclear","Other","Low","Low","111","163","121","280","OR","","","","","","OR","1.34","0.88","2.04","","","Low","OR","0.45","0.16","0.29","0.21","0.29","0.21","-0.45","-0.29","-0.29"
"Bacopoulou","2009","Bocopoulou  GREECE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<3",">=3","3","3to4","2",">=3","","Asthma-Wheeze","Ever Asthma","","atopic","wheeze.rec","5to14","7","normal/low","normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.8","0.7","0.9","0.004","The results of the present study illustrated a protective role of breastfeeding  when practiced for at least three months  on lifetime asthma at 7 years  but not at 18 years.","Low","OR","","","-0.22","0.06","-0.22","0.06","","-0.22","-0.22"
"Takemura","2002","The Tokorozawa Childhood Asthma and Pollinosis Study","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","<3",">=3","3","3to4","2",">=3","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","5to14","6TO15","normal/low","normal","Unclear","Other","Low","Low","992","1323","8620","12893","OR","","","","","","OR","","","","","","Low","OR","0.11","0.04","","","0.11","0.04","0.11","","0.11"
"Prietsch","2006","Prietsch","cross-sectional","retrospective","breastfeeding","eBF","mixed feeding (not clearly defined in methods  but from the results section it transpires that it would be having breastfeeding and another form of milk consumption","being breastfed (reference) compared to mixed feeding","0","0to2","1",">0","","wheeze","recurrent wheeze at present","","atopic","wheeze.rec","5to14","13","normal/low","normal","unclear","Other","low","low","191","","","","OR","1.68","0.97","2.91","0.01","","OR","2.06","1.1","3.85","","","low","OR","0.52","0.28","0.72","0.32","0.72","0.32","-0.52","-0.72","-0.72"
"Takemura","2002","The Tokorozawa Childhood Asthma and Pollinosis Study","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0",">=3","0","0to2","2",">0","","Asthma-Wheeze","Asthma","","atopic","wheeze.rec","5to14","6TO15","normal/low","normal","Unclear","Other","Low","Low","992","357","8620","3759","OR","","","","","","OR","1.198","1.054","1363","","","Low","OR","0.19","0.06","0.18","3.59","0.18","3.59","0.19","0.18","0.18"
"Van Asperen","1983","Van Asperen","prospective cohort","prospective","duration of exclusive breastfeeding","eBF",">=4","< 4","4","3to4","1",">=4","","WHEEZE","","","atopic","wheeze","0to4","1","high","high","High","Other","Low","Low","","","","","","","","","NS","no significant difference","","","","","","","Low","OR","-0.47","0.63","","","-0.47","0.63","0.47","","0.47"
"Miyake","2008","Osaka Maternal and Child Health Study (OMCHS)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">=4","4","3to4","2",">=4","","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","0to4","2","normal/low","normal","High","Other","Low","Low","","","","","OR","1.08","0.77","1.52","","","OR","1.05","0.73","1.5","","","Low","OR","0.08","0.17","0.05","0.18","0.05","0.18","0.08","0.05","0.05"
"Elliott","2008","ALSPAC","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","3","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","0.64","0.55","0.75","","","OR","0.83","0.7","0.98","","","Low","OR","-0.45","0.08","-0.19","0.08","-0.19","0.08","-0.45","-0.19","-0.19"
"Giwercman","2010","Copenhagen Prospective  Study on Asthma in Childhood (COPSAC)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0",">0","0","0to2","2",">0","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","2","high","high","Unclear","Other","Low","Low","","","","","","","","","","","HR","0.67","0.48","0.96","0.021","Exclusive breast-feeding reduced the risk of wheezy episodesin the multivariate analysis adjusted for mothers smoking and ageat start in day care (RR  0.67; 95% CI 0.48-0.96; P 5 .021) withoutany further effect from duration of breast-feeding (P = .637).","Low","HR","","","-0.4","0.18","-0.4","0.18","","-0.4","-0.4"
"Wilson","1998","Dundee infant feeding study","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF",">=4","<4","4","3to4","1",">=4","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","5to14","7","normal/low","normal","High","Other","Low","Low","","","","","","","","","","","","","","","","","Low","OR","1","0.45","","","1","0.45","-1","","-1"
"Nagel (Affluent countries)","2008","ISAAC Phase 2 - Affluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","Wheeze","","atopic","wheeze","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.93","0.8","1.08","","","OR","0.92","0.78","1.1","","","Low","OR","-0.07","0.08","-0.08","0.09","-0.08","0.09","-0.07","-0.08","-0.08"
"Nagel (Non Affluent countries)","2008","ISAAC Phase 2- Nonaffluent countries","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","Asthma-Wheeze","Wheeze","","atopic","wheeze","5to14","12","normal/low","normal","High","Other","Low","Low","","","","","OR","0.74","0.61","0.89","","","OR","0.74","0.61","0.9","","","Low","OR","-0.3","0.09","-0.3","0.1","-0.3","0.1","-0.3","-0.3","-0.3"
"Erkkola","2012","DIPP  (Type 1 Diabetes Prediction and Prevention Project)","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","1st third","2nd third","1","0to2","2",">=1","","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","5to14","5","normal/low","normal","High","Other","Low","Low","","","","","chi square","","","","0.153","","","","","","","","Low","OR","-0.18","0.1","","","-0.18","0.1","-0.18","","-0.18"
"Strassburger","2010","Strassburger  Sao Leopoldo Brazil","prospective cohort","prospective","duration of exclusive breastfeeding","eBF",">=4","<4","4","3to4","1",">=4","","Asthma-Wheeze","WHEEZE","","atopic","wheeze","0to4","3.5","normal/low","normal","Low","Low","Low","Low","","","","","OR","1.52","0.87","2.67","0.139","","OR","1.33","0.73","2.41","0.341","","Low","OR","0.42","0.29","0.29","0.3","0.29","0.3","-0.42","-0.29","-0.29"
"Kull","2002","BAMSE","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","< 4",">= 4","4","3to4","2",">=4","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","2","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.78","0.65","0.93","","","Low","OR","-0.29","0.09","-0.25","0.09","-0.25","0.09","-0.29","-0.25","-0.25"
"Linneberg","2006","Danish National Birth Cohort (DNBC)","prospective cohort","prospective","Duration of exclusive beastfeeding","eBF","<= 2","> 4","2","0to2","2",">=4","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1.5","normal/low","normal","Unclear","Other","Low","Low","","","","","","","","","","","OR","0.76","0.71","0.81","","","Low","OR","","","-0.27","0.03","-0.27","0.03","","-0.27","-0.27"
"Kramer","2009","PROBIT","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","3","6","3","3to4","2",">=6","","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","5to14","6.5","normal/low","normal","Low","Low","Low","Low","","","","","","","","","","","OR","0.8","0.4","1.6","","","Low","OR","-0.37","0.31","-0.22","0.35","-0.22","0.35","-0.37","-0.22","-0.22"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<2",">=2","2","0to2","2",">=2","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.7","1.32","2.1","","","OR","1.36","0.99","1.88","","","Low","OR","0.53","0.11","0.31","0.17","0.31","0.17","0.53","0.31","0.31"
"Elliott","2008","ALSPAC","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","0","?4","0","0to2","2",">=4","","WHEEZE","Wheeze.12mo","","atopic","wheeze","5to14","7.5","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","0.83","0.62","1.1","","","OR","0.83","0.61","1.12","","","Low","OR","-0.19","0.14","-0.19","0.15","-0.19","0.15","-0.19","-0.19","-0.19"
"Garcia-Marcos","2010","?Estudio Internacional de Sibilanciasen Lactantes?? (EISL) (International Study ofWheezing in Infants)","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","?3",">3","3","3to4","2",">=3","","Asthma-Wheeze","occasionalwheeze (OW)","","atopic","wheeze","0to4","1","normal/low","normal","High","Other","Low","Low","","","","","OR","","","","","","OR","0.92","0.84","1.01","","","Low","OR","","","-0.08","0.05","-0.08","0.05","","-0.08","-0.08"
"Tanaka","2009","Fukuoka Child Health Study","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","<4","?4","4","3to4","2",">=4","","Asthma-Wheeze","Wheeze","","atopic","wheeze","0to4","3","normal/low","normal","High","Other","Low","Low","","","","","OR","0.84","0.68","1.04","","","OR","0.84","0.68","1.05","","","Low","OR","-0.17","0.11","-0.17","0.11","-0.17","0.11","-0.17","-0.17","-0.17"
"van der Voort","2012","GENERATION R STUDY","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","4","0","0","0to2","1","4","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal/low","normal","Low","Low","Low","Low","","","","","OR","1.68","1.29","2.19","","","","","","","","Analysesfocused on thesesymptoms per year showedthat childrenwho had been breastfedfor shorter periods had increased risks of wheezing at 1  2and 3 yrs (p 0.05) (fig. 1a). A nonsignificant trend in the samedirectionwas observed at the age of 4 yrs.","Low","OR","0.52","0.14","","","0.52","0.14","-0.52","","-0.52"
"Van Asperen","1983","Van Asperen","prospective cohort","prospective","duration of exclusive breastfeeding","eBF",">= 2","< 2","2","0to2","1",">=2","","WHEEZE","","","atopic","wheeze","0to4","1","high","high","High","Other","Low","Low","","","","","","","","","NS","no significant difference","","","","","","","Low","OR","-0.57","0.52","","","-0.57","0.52","0.57","","0.57"
"Watson","2013","Watson  New Zealand","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<2","2","2","0to2","2",">=2","","Asthma-Wheeze","Wheeze.12mo","","atopic","wheeze","0to4","1.5","high","high","Low","Low","Low","Low","","","","","OR","0.6","0.36","1","","","OR","0.53","0.29","0.99","","","Low","OR","-0.51","0.26","-0.63","0.32","-0.63","0.32","-0.51","-0.63","-0.63"
"Miyake","2003","Miyake  Osaka City","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","0",">=3","0","0to2","2",">=3","","Asthma-Wheeze","WHEEZE","","atopic","wheeze","ge15","15","normal/low","normal","High","Other","Low","Low","","","","","OR","1.01","0.69","1.54","","","OR","0.98","0.66","1.5","","","Low","OR","0.01","0.22","-0.02","0.22","-0.02","0.22","0.01","-0.02","-0.02"
"Ehlayel","2008","Hamad Medical Corportation  Qatar","CROSS SECTIONAL","retrospective","Duration of exclusive breastfeeding","eBF","?6","<6","6","ge5","1",">=6","","Asthma-Wheeze","Wheeze","","atopic","wheeze","5to14","5","normal/low","low","High","Other","Low","Low","","","","","OR","1.44","1.04","2","0.024","","","","","","","","Low","OR","0.36","0.17","","","0.36","0.17","-0.36","","-0.36"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<4",">=4","4","3to4","2",">=4","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.96","1.49","2.56","","","OR","1.7","1.25","2.3","","","Low","OR","0.67","0.14","0.53","0.15","0.53","0.15","0.67","0.53","0.53"
"Cano Garcinuno","2003","Cano Garcinuno","cross-sectional","retrospective","Breastfeeding for at least 3 months","eBF","Breastfeeing for less than 3 months","Exclusive breastfeeding for at least 3 months ","3","3to4","2",">=3","","Asthma-Wheeze","1 episode of wheeze","","atopic","wheeze","0to4","3","normal/low","normal","Unclear","Other","Low","Low","","","","","HR","1.1","0.61","2.63","","","HR","0.83","0.42","1.64","","","Low","HR","0.1","0.44","-0.19","0.35","-0.19","0.35","0.1","-0.19","-0.19"
"Oddy","2003","Western Australia Pregnancy Cohort","prospective cohort","prospective","Duration of exclusive breastfeeding","eBF","<6",">=6","6","ge5","2",">=6","","Asthma-Wheeze","Ever Wheeze","","atopic","wheeze","0to4","1","normal/low","normal","Unclear","Other","Low","Low","","","","","OR","1.67","1.22","2.38","","","OR","2.07","1.47","2.9","","","Low","OR","0.51","0.18","0.73","0.17","0.73","0.17","0.51","0.73","0.73"
