"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Fatty acid","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Low","High maternal intake of fish during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","771","122","1727","322","","","","","","","OR","0.75","0.57","0.98","<0 05","OR","-0.198170636","0.116425458","-0.287682072","0.136469064","-0.287682072","0.136469064","0.820229881","0.652878303","1.030478504","0.75","0.573979592","0.98","0.75","0.573979592","0.98","OR","-0.198170636","0.116425458","-0.287682072","0.136469064","-0.287682072","0.136469064","0.820229881","0.652878303","1.030478504","0.75","0.573979592","0.98","0.75","0.573979592","0.98"
"Miyake","2009","OMCHS","prospective cohort","prospective","Fish","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.67","0.39","1.13","","","OR","0.73","0.3","1.75","","OR","-0.400477567","0.266681224","-0.314710745","0.446084966","-0.314710745","0.446084966","0.67","0.397256637","1.13","0.73","0.304514286","1.75","0.73","0.304514286","1.75","OR","-0.400477567","0.266681224","-0.314710745","0.446084966","-0.314710745","0.446084966","0.67","0.397256637","1.13","0.73","0.304514286","1.75","0.73","0.304514286","1.75"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","fish","FISH","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","<1x/week","?1x/week","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.02","0.82","1.26","0.88","","","","","","","OR","0.019802627","0.107810762","","","0.019802627","0.107810762","1.02","0.825714286","1.26","","","","1.02","0.825714286","1.26","OR","0.019802627","0.107810762","","","0.019802627","0.107810762","1.02","0.825714286","1.26","","","","1.02","0.825714286","1.26"
"Nwaru","2012","DIPP","prospective cohort","prospective","Specific food intake - maternal [pregnancy]","fat - PUFA","OMEGA 3- PUFA","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","Second/third quartile of intake","Highest quartile","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","5","5to14","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1","0.82","1.22","","","OR","1.03","	0.83","1.27","","OR","0","0.10145452","0.029558802","0.106866377","0.029558802","0.106866377","1","0.819672131","1.22","1.03","0.835354331","1.27","1.03","0.835354331","1.27","OR","0","0.10145452","0.029558802","0.106866377","0.029558802","0.106866377","1","0.819672131","1.22","1.03","0.835354331","1.27","1.03","0.835354331","1.27"
"Wang","2007","Tiawan Nationation Birth Cohort Study","prospective cohort","prospective","Specific food intake - maternal","shrimp and crab","SEAFOOD","MATERNAL FISH- OMEGA-3- PUFA- SEAFOOD INTAKE","mother-pregnancy-intake","up to 3 times per week",">3times per week","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","0.5","0to4","low-normal","Low","Low","Low","Low","","","","","","152","","1608","","OR","1.21","0.78","1.59","","","","","","","","OR","0.19062036","0.139343702","","","0.19062036","0.139343702","1.21","0.92081761","1.59","","","","1.21","0.92081761","1.59","OR","0.19062036","0.139343702","","","0.19062036","0.139343702","1.21","0.92081761","1.59","","","","1.21","0.92081761","1.59"
"Martindale","2005","ABERDEEN COHORT","prospective cohort","prospective","FRUITS","fruits","ANY FRUIT","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","<=1",">1","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.72","1.22","2.43","","","OR","1.66","1.16","2.4","","OR","0.542324291","0.176309677","0.506817602","0.188087314","0.506817602","0.188087314","1.72","1.21744856","2.43","1.66","1.148166667","2.4","1.66","1.148166667","2.4","OR","0.542324291","0.176309677","0.506817602","0.188087314","0.506817602","0.188087314","1.72","1.21744856","2.43","1.66","1.148166667","2.4","1.66","1.148166667","2.4"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of total fruit","fruits","ANY FRUIT","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.66","0.39","1.1","","","OR","0.78","0.45","1.35","","OR","-0.415515444","0.260625318","-0.248461359","0.279880588","-0.248461359","0.279880588","0.66","0.396","1.1","0.78","0.450666667","1.35","0.78","0.450666667","1.35","OR","-0.415515444","0.260625318","-0.248461359","0.279880588","-0.248461359","0.279880588","0.66","0.396","1.1","0.78","0.450666667","1.35","0.78","0.450666667","1.35"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","apples","APPLE","MATERNAL FRUIT INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","857","150","1651","296","","","","","","","OR","0.92","0.72","1.21","","OR","-0.029198093","0.1104422","-0.083381609","0.139796923","-0.083381609","0.139796923","0.971224053","0.782184365","1.205951184","0.92","0.699504132","1.21","0.92","0.699504132","1.21","OR","-0.029198093","0.1104422","-0.083381609","0.139796923","-0.083381609","0.139796923","0.971224053","0.782184365","1.205951184","0.92","0.699504132","1.21","0.92","0.699504132","1.21"
"Miyake","2009","OMCHS","prospective cohort","prospective","meat","meat","","MATERNAL MEAT INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.12","0.69","1.83","","","OR","1.31","0.78","2.22","","OR","0.113328685","0.250503715","0.270027137","0.269122479","0.270027137","0.269122479","1.12","0.685464481","1.83","1.31","0.773018018","2.22","1.31","0.773018018","2.22","OR","0.113328685","0.250503715","0.270027137","0.269122479","0.270027137","0.269122479","1.12","0.685464481","1.83","1.31","0.773018018","2.22","1.31","0.773018018","2.22"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","yoghurt","PROBIOTIC","MATERNAL PROBIOTIC","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","1370","249","1146","197","","","","","","","OR","0.99","0.78","1.27","","OR","0.067681543","0.105061924","-0.010050336","0.127075121","-0.010050336","0.127075121","1.070024498","0.870889804","1.314692652","0.99","0.771732283","1.27","0.99","0.771732283","1.27","OR","0.067681543","0.105061924","-0.010050336","0.127075121","-0.010050336","0.127075121","1.070024498","0.870889804","1.314692652","0.99","0.771732283","1.27","0.99","0.771732283","1.27"
"Miyake","2010","OMCHS","prospective cohort","prospective","yoghurt","yoghurt","PROBIOTIC","MATERNAL PROBIOTIC","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.82","0.49","1.35","","","OR","0.79","0.46","1.37","","OR","-0.198450939","0.254365067","-0.235722334","0.280884221","-0.235722334","0.280884221","0.82","0.498074074","1.35","0.79","0.455547445","1.37","0.79","0.455547445","1.37","OR","-0.198450939","0.254365067","-0.235722334","0.280884221","-0.235722334","0.280884221","0.82","0.498074074","1.35","0.79","0.455547445","1.37","0.79","0.455547445","1.37"
"Wang","2007","Tiawan Nationation Birth Cohort Study","prospective cohort","prospective","Specific food intake - maternal","GINSENG","GINSENG","MATERNAL TEA INTAKE","mother-pregnancy-intake","Maternal intake during pregnancy","No maternal intake during pregnancy","oftenVSnever-rare","yes-no","1=yes","atopic","AD","","0.5","0to4","low-normal","Low","Low","Low","Low","","","","","","152","","1608","","OR","1.69","0.23","12.61","","","","","","","","OR","0.524728529","1.025388582","","","0.524728529","1.025388582","1.69","0.226494845","12.61","","","","1.69","0.226494845","12.61","OR","-0.524728529","1.025388582","","","-0.524728529","1.025388582","0.591715976","0.079302141","4.415111516","","","","0.591715976","0.079302141","4.415111516"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of vegetables","vegetables","ANY VEGETABLE","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.75","0.46","1.22","","","OR","0.7","0.41","1.19","","OR","-0.287682072","0.248231087","-0.356674944","0.2707287","-0.356674944","0.2707287","0.75","0.461065574","1.22","0.7","0.411764706","1.19","0.7","0.411764706","1.19","OR","-0.287682072","0.248231087","-0.356674944","0.2707287","-0.356674944","0.2707287","0.75","0.461065574","1.22","0.7","0.411764706","1.19","0.7","0.411764706","1.19"
"Oien","2009","PACT","prospective cohort","prospective","Fatty acid","vegetables","ANY VEGETABLE","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","?1x/week","Almost daily","oftenVSnever-rare","freq(times/week)","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","0.72","0.51","1.02","","","","","","","","OR","-0.328504067","0.177707497","","","-0.328504067","0.177707497","0.72","0.508235294","1.02","","","","0.72","0.508235294","1.02","OR","-0.328504067","0.177707497","","","-0.328504067","0.177707497","0.72","0.508235294","1.02","","","","0.72","0.508235294","1.02"
"Sausenthaler","2007","LISA","prospective cohort","prospective","Specific food intake - maternal","cabbage","GREEN- LEAFY VEGETABLES","MATERNAL VEGETABLE INTAKE","mother-pregnancy-intake","Low","High maternal intake during pregnancy","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","AD","","2","0to4","low-normal","Low","Low","Low","Low","","","","","","955","178","1548","268","","","","","","","OR","1.24","0.96","1.59","","OR","0.089971576","0.10685304","0.21511138","0.126848284","0.21511138","0.126848284","1.094143184","0.887399165","1.349053903","1.24","0.967044025","1.59","1.24","0.967044025","1.59","OR","0.089971576","0.10685304","0.21511138","0.126848284","0.21511138","0.126848284","1.094143184","0.887399165","1.349053903","1.24","0.967044025","1.59","1.24","0.967044025","1.59"
"Marini","1996","Marini","prospective cohort (of RCT-CCT)","prospective","CITRUS FRUIT","citrus fruits","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">=4","<4","0to4","categ(months)","1=yes","atopic","AD","","1","0to4","high","Unclear","Unclear-high","Unclear","Unclear-High","","","","","","","","","","","","","","","","OR","0.9","0.2","5.1","","OR","","","-0.105360516","0.885000538","-0.105360516","0.885000538","","","","0.9","0.158823529","5.1","0.9","0.158823529","5.1","OR","","","0.105360516","0.885000538","0.105360516","0.885000538","","","","1.111111111","0.196078431","6.296296296","1.111111111","0.196078431","6.296296296"
"Sariachvili","2010","PIPO COHORT","NESTED CASE CONTROL","prospective","SPECIFIC FOOD INTAKE [INFANT]","fruits","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">4","<=4","0to4","categ(months)","1=yes","atopic","AD","","4","0to4","low-normal","Low","Low","Unclear","Unclear-High","252","57","195","86","219","","","","","OR","0.74","0.51","1.1","0.13","","","","","","","OR","-0.301105093","0.20225269","","","-0.301105093","0.20225269","0.74","0.497818182","1.1","","","","0.74","0.497818182","1.1","OR","0.301105093","0.20225269","","","0.301105093","0.20225269","1.351351351","0.909090909","2.008765522","","","","1.351351351","0.909090909","2.008765522"
"Sariachvili","2010","PIPO COHORT","NESTED CASE CONTROL","prospective","SPECIFIC FOOD INTAKE [INFANT]","vegetables","VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro",">4","<=4","0to4","categ(months)","1=yes","atopic","AD","","4","0to4","low-normal","Low","Low","Unclear","Unclear-High","252","49","203","77","228","","","","","OR","0.72","0.48","1.07","0.1","","","","","","","OR","-0.328504067","0.202123834","","","-0.328504067","0.202123834","0.72","0.484485981","1.07","","","","0.72","0.484485981","1.07","OR","0.328504067","0.202123834","","","0.328504067","0.202123834","1.388888889","0.934579439","2.06404321","","","","1.388888889","0.934579439","2.06404321"
"Marini","1996","Marini","prospective cohort (of RCT-CCT)","prospective","BEEF","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro",">=6","<6","5to7","categ(months)","1=yes","atopic","AD","","1","0to4","high","Unclear","Unclear-high","Unclear","Unclear-High","","","","","","","","","","","","","","","","OR","5.6","1.1","27.5","","OR","","","1.722766598","0.811948677","1.722766598","0.811948677","","","","5.6","1.140363636","27.5","5.6","1.140363636","27.5","OR","","","-1.722766598","0.811948677","-1.722766598","0.811948677","","","","0.178571429","0.036363636","0.876913265","0.178571429","0.036363636","0.876913265"
"Sariachvili","2010","PIPO COHORT","NESTED CASE CONTROL","prospective","SPECIFIC FOOD INTAKE [INFANT]","meat","","INFANT MEAT INTRODUCTION","infant-1st year-intro",">4","<=4","0to4","categ(months)","1=yes","atopic","AD","","4","0to4","low-normal","Low","Low","Unclear","Unclear-High","252","6","246","90","215","","","","","OR","1.84","0.51","6.58","0.34","","","","","","","OR","0.609765572","0.650137334","","","0.609765572","0.650137334","1.84","0.514528875","6.58","","","","1.84","0.514528875","6.58","OR","-0.609765572","0.650137334","","","-0.609765572","0.650137334","0.543478261","0.151975684","1.94352552","","","","0.543478261","0.151975684","1.94352552"
"Bertelsen","2013","Norwegian Mother & Child Cohort Study","prospective cohort","prospective","Probiotic-pregnancy","PROBIOTICS (milk based)","PROBIOTIC","MATERNAL PROBIOTIC","mother-pregnancy-intake","no","yes","oftenVSnever-rare","yes-no","2=no","atopic","AD","","0.5","0to4","low-normal","Unclear","Unclear-high","Unclear","Unclear-High","","","","","","","","","","","","","","","","OR","0.94","0.89","0.99","","OR","","","-0.061875404","0.026441361","-0.061875404","0.026441361","","","","0.94","0.892525253","0.99","0.94","0.892525253","0.99","OR","","","-0.061875404","0.026441361","-0.061875404","0.026441361","","","","0.94","0.892525253","0.99","0.94","0.892525253","0.99"
"Nwaru","2010","DIPP ","prospective cohort","prospective","age at introduction to FRUITS AND BERRIES","fruits and berries","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro","< 3.46",">4","0to4","categ(months)","2=no","atopic","aero","sIgEaero","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.3","0.89","1.91","","","OR","1.54","0.97","2.45","","OR","0.262364264","0.196295397","0.431782416","0.236890616","0.431782416","0.236890616","1.3","0.884816754","1.91","1.54","0.968","2.45","1.54","0.968","2.45","OR","0.262364264","0.196295397","0.431782416","0.236890616","0.431782416","0.236890616","1.3","0.884816754","1.91","1.54","0.968","2.45","1.54","0.968","2.45"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","fruits","fruits","FRUIT","INFANT FRUIT INTRODUCTION","infant-1st year-intro","<=4",">4","0to4","categ(months)","2=no","atopic","aero","SPTaero","5.5","any","low-normal","High","Unclear-high","Low","Low","","","","","","181","31.856","442","72.046","","","","","0.71","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","","","","","","OR","0.092387335","0.233835947","","","0.092387335","0.233835947","1.096789565","0.693550571","1.734476763","1","1","1","1.096789565","0.693550571","1.734476763","OR","0.092387335","0.233835947","","","0.092387335","0.233835947","1.096789565","0.693550571","1.734476763","1","1","1","1.096789565","0.693550571","1.734476763"
"Strassburger","2010","Strassburger  Sao Leopoldo Brazil","prospective cohort","prospective","time of introduction of fruit - FRUIT JUICE","fruit juice","FRUIT JUICE-SYRUP","INFANT FRUIT INTRODUCTION","infant-1st year-intro",">=4","<4","0to4","categ(months)","1=yes","atopic","aero","SPTaero","3.5","any","low-normal","Low","Low","Low","Low","","","","","","52","21","269","72","OR","1.85","1","3.43","0.048","","OR","1.39","0.7","2.74","0.335","OR","0.615185639","0.314987052","0.329303747","0.346252129","0.329303747","0.346252129","1.85","0.997813411","3.43","1.39","0.705145985","2.74","1.39","0.705145985","2.74","OR","-0.615185639","0.314987052","-0.329303747","0.346252129","-0.329303747","0.346252129","0.540540541","0.29154519","1.002191381","0.71942446","0.364963504","1.418146059","0.71942446","0.364963504","1.418146059"
"Nwaru","2010","DIPP ","prospective cohort","prospective","age at introduction to POTATOES","potatoes","POTATO-CARROT-ROOT VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro","<3.1",">4","0to4","categ(months)","2=no","atopic","aero","sIgEaero","5","any","low-normal","Low","Low","Low","Low","","","","","","","","","","OR","1.67","1.13","2.48","","","OR","1.93","1.2","3.11","","OR","0.512823626","0.201752517","0.657520003","0.243419757","0.657520003","0.243419757","1.67","1.124556452","2.48","1.93","1.197717042","3.11","1.93","1.197717042","3.11","OR","0.512823626","0.201752517","0.657520003","0.243419757","0.657520003","0.243419757","1.67","1.124556452","2.48","1.93","1.197717042","3.11","1.93","1.197717042","3.11"
"Zutavern","2004","ZUTAVERN  A","prospective cohort","prospective","vegetables","vegetables","VEGETABLES","INFANT VEGETABLE INTRODUCTION","infant-1st year-intro","<=4",">4","0to4","categ(months)","2=no","atopic","aero","SPTaero","5.5","any","low-normal","Low","Low","Low","Low","","","","","","174","29.58","449","74.085","","","","","0.9","in the paper they call it prevalence at age 5.5 but based on the definition it is not for AD and transiet wheeze","OR","1","0.57","1.7","","OR","0.035858987","0.238529149","0","0.2707287","0","0.2707287","1.036509675","0.64943135","1.654296958","1","0.588235294","1.7","1","0.588235294","1.7","OR","0.035858987","0.238529149","0","0.2707287","0","0.2707287","1.036509675","0.64943135","1.654296958","1","0.588235294","1.7","1","0.588235294","1.7"
